"username","kategori","pengikut","gmv","produk_terjual","rata_rata_tayangan","tingkat_interaksi","nomor_kontak","nomor_whatsapp","gmv_per_pembeli","gmv_harian","gmv_mingguan","gmv_bulanan","detail_url","scraped_at"
"user_0","Fashion","1000","100000.0","100","500","2.5","","","15000.0","50000.0","350000.0","1500000.0","https://affiliate-id.tokopedia.com/creator/0","2026-04-21T23:19:37.566641"
"user_1","Fashion","1001","100001.0","101","501","2.5","","","15000.0","50000.0","350000.0","1500000.0","https://affiliate-id.tokopedia.com/creator/1","2026-04-21T23:19:37.566641"
"user_2","Fashion","1002","100002.0","102","502","2.5","","","15000.0","50000.0","350000.0","1500000.0","https://affiliate-id.tokopedia.com/creator/2","2026-04-21T23:19:37.566641"
"user_3","Fashion","1003","100003.0","103","503","2.5","","","15000.0","50000.0","350000.0","1500000.0","https://affiliate-id.tokopedia.com/creator/3","2026-04-21T23:19:37.566641"
"user_4","Fashion","1004","100004.0","104","504","2.5","","","15000.0","50000.0","350000.0","1500000.0","https://affiliate-id.tokopedia.com/creator/4","2026-04-21T23:19:37.566641"
"user_5","Fashion","1005","100005.0","105","505","2.5","","","15000.0","50000.0","350000.0","1500000.0","https://affiliate-id.tokopedia.com/creator/5","2026-04-21T23:19:37.566641"
"user_6","Fashion","1006","100006.0","106","506","2.5","","","15000.0","50000.0","350000.0","1500000.0","https://affiliate-id.tokopedia.com/creator/6","2026-04-21T23:19:37.566641"
"user_7","Fashion","1007","100007.0","107","507","2.5","","","15000.0","50000.0","350000.0","1500000.0","https://affiliate-id.tokopedia.com/creator/7","2026-04-21T23:19:37.566641"
"user_8","Fashion","1008","100008.0","108","508","2.5","","","15000.0","50000.0","350000.0","1500000.0","https://affiliate-id.tokopedia.com/creator/8","2026-04-21T23:19:37.566641"
"user_9","Fashion","1009","100009.0","109","509","2.5","","","15000.0","50000.0","350000.0","1500000.0","https://affiliate-id.tokopedia.com/creator/9","2026-04-21T23:19:37.566641"
"user_10","Fashion","1010","100010.0","110","510","2.5","","","15000.0","50000.0","350000.0","1500000.0","https://affiliate-id.tokopedia.com/creator/10","2026-04-21T23:19:37.566641"
"user_11","Fashion","1011","100011.0","111","511","2.5","","","15000.0","50000.0","350000.0","1500000.0","https://affiliate-id.tokopedia.com/creator/11","2026-04-21T23:19:37.566641"
"user_12","Fashion","1012","100012.0","112","512","2.5","","","15000.0","50000.0","350000.0","1500000.0","https://affiliate-id.tokopedia.com/creator/12","2026-04-21T23:19:37.566641"
"user_13","Fashion","1013","100013.0","113","513","2.5","","","15000.0","50000.0","350000.0","1500000.0","https://affiliate-id.tokopedia.com/creator/13","2026-04-21T23:19:37.566641"
"user_14","Fashion","1014","100014.0","114","514","2.5","","","15000.0","50000.0","350000.0","1500000.0","https://affiliate-id.tokopedia.com/creator/14","2026-04-21T23:19:37.566641"
"user_15","Fashion","1015","100015.0","115","515","2.5","","","15000.0","50000.0","350000.0","1500000.0","https://affiliate-id.tokopedia.com/creator/15","2026-04-21T23:19:37.566641"
"user_16","Fashion","1016","100016.0","116","516","2.5","","","15000.0","50000.0","350000.0","1500000.0","https://affiliate-id.tokopedia.com/creator/16","2026-04-21T23:19:37.566641"
"user_17","Fashion","1017","100017.0","117","517","2.5","","","15000.0","50000.0","350000.0","1500000.0","https://affiliate-id.tokopedia.com/creator/17","2026-04-21T23:19:37.566641"
"user_18","Fashion","1018","100018.0","118","518","2.5","","","15000.0","50000.0","350000.0","1500000.0","https://affiliate-id.tokopedia.com/creator/18","2026-04-21T23:19:37.566641"
"user_19","Fashion","1019","100019.0","119","519","2.5","","","15000.0","50000.0","350000.0","1500000.0","https://affiliate-id.tokopedia.com/creator/19","2026-04-21T23:19:37.566641"
"user_20","Fashion","1020","100020.0","120","520","2.5","","","15000.0","50000.0","350000.0","1500000.0","https://affiliate-id.tokopedia.com/creator/20","2026-04-21T23:19:37.566641"
"user_21","Fashion","1021","100021.0","121","521","2.5","","","15000.0","50000.0","350000.0","1500000.0","https://affiliate-id.tokopedia.com/creator/21","2026-04-21T23:19:37.566641"
"user_22","Fashion","1022","100022.0","122","522","2.5","","","15000.0","50000.0","350000.0","1500000.0","https://affiliate-id.tokopedia.com/creator/22","2026-04-21T23:19:37.566641"
"user_23","Fashion","1023","100023.0","123","523","2.5","","","15000.0","50000.0","350000.0","1500000.0","https://affiliate-id.tokopedia.com/creator/23","2026-04-21T23:19:37.566641"
"user_24","Fashion","1024","100024.0","124","524","2.5","","","15000.0","50000.0","350000.0","1500000.0","https://affiliate-id.tokopedia.com/creator/24","2026-04-21T23:19:37.566641"
"user_25","Fashion","1025","100025.0","125","525","2.5","","","15000.0","50000.0","350000.0","1500000.0","https://affiliate-id.tokopedia.com/creator/25","2026-04-21T23:19:37.566641"
"user_26","Fashion","1026","100026.0","126","526","2.5","","","15000.0","50000.0","350000.0","1500000.0","https://affiliate-id.tokopedia.com/creator/26","2026-04-21T23:19:37.566641"
"user_27","Fashion","1027","100027.0","127","527","2.5","","","15000.0","50000.0","350000.0","1500000.0","https://affiliate-id.tokopedia.com/creator/27","2026-04-21T23:19:37.566641"
"user_28","Fashion","1028","100028.0","128","528","2.5","","","15000.0","50000.0","350000.0","1500000.0","https://affiliate-id.tokopedia.com/creator/28","2026-04-21T23:19:37.566641"
"user_29","Fashion","1029","100029.0","129","529","2.5","","","15000.0","50000.0","350000.0","1500000.0","https://affiliate-id.tokopedia.com/creator/29","2026-04-21T23:19:37.566641"
"user_30","Fashion","1030","100030.0","130","530","2.5","","","15000.0","50000.0","350000.0","1500000.0","https://affiliate-id.tokopedia.com/creator/30","2026-04-21T23:19:37.566641"
"user_31","Fashion","1031","100031.0","131","531","2.5","","","15000.0","50000.0","350000.0","1500000.0","https://affiliate-id.tokopedia.com/creator/31","2026-04-21T23:19:37.566641"
